	line	token	lemma	pos
0	1	Vrouwe	vrouwe	NOU-C(number=sg)
1	1	Margriete	Margriet	NOU-P
2	1	van	van	ADP(type=pre)
3	1	Inghelant	Engeland	NOU-P
4	2	Die	die	PD(type=d-p,position=free)
5	2	seker	zeker	AA(degree=pos,position=free)
6	2	hevet	hebben	VRB(finiteness=fin,tense=pres)
7	2	van	van	ADP(type=pre)
8	2	Brabant	Brabant	NOU-P
9	3	Tshertoghen	de+hertog	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)
10	3	Jans	Jans	NOU-P
11	3	sone	zoon	NOU-C(number=sg)
12	3	Jan	Jan	NOU-P
13	4	Want	want	CONJ(type=sub)
14	4	si	zij	PD(type=pers,position=free)
15	4	dietsche	Diets	AA(degree=pos,position=prenom)
16	4	tale	taal	NOU-C(number=sg)
17	4	niet	niet	ADV(type=reg)
18	4	en	ne	ADV(type=reg)
19	4	can	kunnen	VRB(finiteness=fin,tense=pres)
20	5	Daer	daar	ADV(type=pron)
21	5	bi	bij	ADV(type=pron)
22	5	willic	willen+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
23	5	haer	zij	PD(type=pers,position=free)
24	5	ene	een	PD(type=indef,subtype=art,position=prenom)
25	5	gichte	gift	NOU-C(number=sg)
26	6	Sinden	zinnen	VRB(finiteness=inf)
27	6	van	van	ADP(type=pre)
28	6	dietschen	Diets	AA(degree=pos,position=prenom)
29	6	gedichte	gedicht	NOU-C(number=sg)
30	7	Daer	daar	ADV(type=pron)
31	7	si	zij	PD(type=pers,position=free)
32	7	dietsch	Diets	NOU-C(number=sg)
33	7	in	in	ADV(type=pron)
34	7	leeren	leren	VRB(finiteness=inf)
35	7	moghe	mogen	VRB(finiteness=fin,tense=pres)
36	8	Van	van	ADP(type=pre)
37	8	haren	haar	PD(type=poss,position=prenom)
38	8	sweer	zweer	NOU-C(number=sg)
39	8	den	de	PD(type=d-p,subtype=art,position=prenom)
40	8	hertoghe	hertog	NOU-C(number=sg)
41	9	Sindic	zijn+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
42	9	haer	zij	PD(type=pers,position=free)
43	9	daer	daar	ADV(type=pron)
44	9	bi	bij	ADV(type=pron)
45	9	beschreven	beschrijven	VRB(finiteness=pastpart)
46	10	Want	want	CONJ(type=coor)
47	10	en	ne	ADV(type=reg)
48	10	mach	mogen	VRB(finiteness=fin,tense=pres)
49	10	niet	niet	ADV(type=reg)
50	10	scoenres	schoeneres	NOU-C(number=sg)
51	10	geven	geven	VRB(finiteness=inf)
52	11	Van	van	ADP(type=pre)
53	11	ridderscape	ridderschap	NOU-C(number=sg)
54	11	groote	groot	AA(degree=pos,position=prenom)
55	11	dade	daad	NOU-C(number=sg)
56	12	Nu	nu	ADV(type=reg)
57	12	biddic	bidden+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
58	12	hare	haar	PD(type=pers,position=free)
59	12	op	op	ADP(type=pre)
60	12	ghenade	genade	NOU-C(number=sg)
61	13	Der	de	PD(type=d-p,subtype=art,position=prenom)
62	13	edelre	edel	AA(degree=pos,position=prenom)
63	13	vrouwen	vrouw	NOU-C(number=pl)
64	13	Margrieten	Margriet	NOU-P
65	14	Dat	dat	CONJ(type=sub)
66	14	ic	ik	PD(type=pers,position=free)
67	14	hare	haar	PD(type=poss,position=prenom)
68	14	dogeden	deugd	NOU-C(number=pl)
69	14	moet	moeten	VRB(finiteness=fin,tense=pres)
70	14	ghenieten	genieten	VRB(finiteness=inf)
71	15	Dat	dat	CONJ(type=sub)
72	15	sijt	zij+het	PD(type=pers,position=free)+PD(type=pers,position=free)
73	15	met	met	ADP(type=pre)
74	15	ootmoede	ootmoed	NOU-C(number=sg)
75	15	wille	willen	VRB(finiteness=fin,tense=pres)
76	15	ontfaen	ontvangen	VRB(finiteness=inf)
77	16	Want	want	CONJ(type=coor)
78	16	om	om	ADP(type=pre)
79	16	hare	haar	PD(type=pers,position=free)
80	16	hebbict	hebbieken+het	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
81	16	bestaen	bestaan	VRB(finiteness=pastpart)
82	17	God	God	NOU-P
83	17	latet	laten	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
84	17	my	ik	PD(type=pers,position=free)
85	17	alsoe	alzo	ADV(type=reg)
86	17	volbringen	volbrengen	VRB(finiteness=inf)
87	18	Na	na	ADP(type=pre)
88	18	die	die	PD(type=d-p,subtype=art,position=prenom)
89	18	waerheit	waarheid	NOU-C(number=sg)
90	18	van	van	ADP(type=pre)
91	18	den	de	PD(type=d-p,subtype=art,position=prenom)
92	18	dingen	ding	NOU-C(number=pl)
93	19	Want	want	CONJ(type=coor)
94	19	ic	ik	PD(type=pers,position=free)
95	19	wille	willen	VRB(finiteness=fin,tense=pres)
96	19	op	op	ADP(type=pre)
97	19	die	die	PD(type=d-p,subtype=art,position=prenom)
98	19	waerheit	waarheid	NOU-C(number=sg)
99	19	bliven	blijven	VRB(finiteness=inf)
100	20	Ende	en	CONJ(type=coor)
101	20	bescedenlike	bescheidenlijk	ADV(type=reg)
102	20	bescriven	beschrijven	VRB(finiteness=fin,tense=pres)
103	21	Die	die	PD(type=d-p,subtype=art,position=prenom)
104	21	yeesten	geeste	NOU-C(number=pl)
105	21	die	die	PD(type=d-p,position=free)
106	21	ghesciet	geschieden	VRB(finiteness=pastpart)
107	21	sijn	zijn	VRB(finiteness=fin,tense=pres)
108	22	Tusschen	tussen	ADP(type=pre)
109	22	der	de	PD(type=d-p,subtype=art,position=prenom)
110	22	Mase	Maas	NOU-P
111	22	ende	en	CONJ(type=coor)
112	22	den	de	PD(type=d-p,subtype=art,position=prenom)
113	22	Rijn	Rijn	NOU-P
114	23	Tusschen	tussen	ADP(type=pre)
115	23	den	de	PD(type=d-p,subtype=art,position=prenom)
116	23	hertoge	hertog	NOU-C(number=sg)
117	23	van	van	ADP(type=pre)
118	23	Brabant	Brabant	NOU-P
119	24	Ende	en	CONJ(type=coor)
120	24	die	die	PD(type=d-p,subtype=art,position=prenom)
121	24	heeren	heer	NOU-C(number=pl)
122	24	die	die	PD(type=d-p,position=free)
